time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-06-15 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,298.0199890136719,168.0,0.0
2020-06-16 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-16 09:30:00-04:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,315.4800109863281,168.0,0.0
2020-06-22 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,307.989990234375,158.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,day,0.0,1,stock,303.4700012207031,158.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,303.4700012207031,240.0,0.0
2020-07-22 09:30:00-04:00,MLTrader,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-22 09:30:00-04:00,MLTrader,MSFT,buy,market,fill,1,gtc,0.0,1,stock,209.1999969482422,60.0,0.0
2020-07-24 09:30:00-04:00,MLTrader,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-07-24 09:30:00-04:00,MLTrader,MSFT,sell,stop,fill,1,day,0.0,1,stock,198.73999710083007,60.0,0.0
2020-07-31 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-31 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,102.88500213623047,118.0,0.0
2020-08-05 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4700012207031,18.0,0.0
2020-08-21 09:30:00-04:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-08-21 09:30:00-04:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,123.46200256347656,118.0,0.0
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,day,0.0,1,stock,337.489990234375,258.0,0.0
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,337.489990234375,31.0,0.0
2020-09-15 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.1199951171875,173.0,0.0
2020-10-30 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-10-30 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,111.05999755859375,797.0,0.0
2020-11-09 08:30:00-05:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-11-09 08:30:00-05:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,363.9700012207031,173.0,0.0
2020-11-09 08:30:00-05:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-11-09 08:30:00-05:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,363.9700012207031,31.0,0.0
2020-12-22 09:30:00-05:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-12-22 09:30:00-05:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,133.2719970703125,797.0,0.0
2021-01-28 09:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 09:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,433.0,0.0
2021-01-29 09:30:00-05:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-01-29 09:30:00-05:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,132.54400405883788,433.0,0.0
2021-07-16 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,135.0,0.0
2021-07-28 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-07-28 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,144.80999755859375,610.0,0.0
2021-07-29 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-07-29 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,144.69000244140625,305.0,0.0
2021-10-26 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-10-26 09:30:00-04:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,457.8105102539063,135.0,0.0
2021-12-08 09:30:00-05:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-12-08 09:30:00-05:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,173.7719970703125,610.0,0.0
2021-12-08 09:30:00-05:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-12-08 09:30:00-05:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,173.62800292968748,305.0,0.0
2022-01-21 09:30:00-05:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,159.0,0.0
2022-03-04 09:30:00-05:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,246.0,0.0
2022-03-18 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,364.0,0.0
2022-03-24 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.94000244140625,535.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,453.33750000000003,246.0,0.0
2022-03-29 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-29 09:30:00-04:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,364.0,0.0
2022-04-22 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,500.0,0.0
2022-04-27 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,417.239990234375,785.0,0.0
2022-04-28 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,1163.0,0.0
2022-06-10 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-10 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,394.8800048828125,1866.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,day,0.0,1,stock,387.2699890136719,5008.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,2844.0,0.0
2022-09-23 09:30:00-04:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-23 09:30:00-04:00,MLTrader,SPY,sell,stop,fill,1,day,0.0,1,stock,367.90648956298827,2844.0,0.0
2022-09-27 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-27 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,368.0199890136719,289.0,0.0
2022-09-28 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-28 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,364.3800048828125,438.0,0.0
2022-10-25 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-25 09:30:00-04:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,382.59900512695316,438.0,0.0
2022-10-26 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-26 09:30:00-04:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,386.4209884643555,289.0,0.0
2022-11-28 09:30:00-05:00,MLTrader,MSFT,sell,market,new,1,gtc,0.0,1,stock,,,
2022-11-28 09:30:00-05:00,MLTrader,MSFT,sell,market,fill,1,gtc,0.0,1,stock,246.0800018310547,405.0,0.0
2022-12-13 09:30:00-05:00,MLTrader,MSFT,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-12-13 09:30:00-05:00,MLTrader,MSFT,buy,stop,fill,1,day,0.0,1,stock,261.69000244140625,405.0,0.0
2023-01-19 09:30:00-05:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,MSFT,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,248.0,0.0
2023-01-19 09:30:00-05:00,MLTrader,MSFT,sell,market,fill,1,gtc,0.0,1,stock,233.77999877929688,413.0,0.0
2023-01-26 09:30:00-05:00,MLTrader,MSFT,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-26 09:30:00-05:00,MLTrader,MSFT,buy,stop,fill,1,day,0.0,1,stock,245.46899871826173,413.0,0.0
2023-02-01 09:30:00-05:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,248.0,0.0
